NGCname,names,cexpnum,ra,dec,pa,radius,exptime,location,type
NGC2237,"Caldwell 49 | Rosette Nebula",30873,98.03613404483747,4.837017448655785,2.4634822348977554,125,900,"MW","HII region"
NGC6514,"M20 | Triffid Nebula",15922,270.64456,-22.93754,119.4349,5,30.,"MW","HII region"
NGC2024,"Flame Nebula | Hosehead Nebula",5752,85.16894513263091,-2.666134285316921,-62.278975959353865,125,900.,"MW","HII region"
NGC7293,"Helix Nebula ",4297,337.4107,-20.83721,178.6492,1,900.,"MW","PN"
NGC4945,"Caldwell 83",12312,196.35877,-49.47458,179.9015,70,900.,"LV","Galaxy"
NGC598,"M33 | Triangulum Galaxy",5513,23.3982,30.54882,179.8685,60,900.,"LV","Galaxy"
