tilegrp,tileid,mjd,expnum,exptime,stage,status,drpqual,drpver,dpos,object,obstime,std_mean_senb,std_mean_senr,std_mean_senz,sci_mean_senb,sci_mean_senr,sci_mean_senz,mod_mean_senb,mod_mean_senr,mod_mean_senz,fluxcal,sci_ra,sci_dec,sci_pa,sci_amass,sci_astsrc,sci_kmpos,sci_focpos,sci_alt,sci_sh_hght,sci_moon_sep,skye_ra,skye_dec,skye_pa,skye_amass,skye_astsrc,skye_kmpos,skye_focpos,skye_name,skye_alt,sci_skye_sep,skye_sh_hght,skye_moon_sep,skyw_ra,skyw_dec,skyw_pa,skyw_amass,skyw_astsrc,skyw_kmpos,skyw_focpos,skyw_name,skyw_alt,sci_skyw_sep,skyw_sh_hght,skyw_moon_sep,moon_ra,moon_dec,moon_phase,moon_fli,sun_alt,moon_alt,filename,location,agcam_location,calib_mjd,ra,dec,pa,NGCname,ra_icrs,dec_icrs,ra_g,dec_g
1029XX,1029009,60283,8831,900.0,1,0,0,1.2.1,0,tile_id=1029009,2023-12-05T05:15:49.107,6.20493681104188e-14,3.08182675401329e-14,2.07295442066355e-14,5.98735633864134e-14,3.14438121100659e-14,2.08605806185672e-14,6.23775034367869e-14,3.03250218030932e-14,2.0503517483816e-14,MOD,86.88140566807903,-2.0008846318015663,62.10912055084674,1.127059824409664,GDR coadd,-67.99,35.7,62.5315,2655.72896,79.3926,70.85955264625713,-56.128035500417724,1.4893498725825236,1.1344849299492201,GDR coadd,-52.97,35.38,WHAM_south_08,61.8187,55.6427,1236.87325,101.441,85.8003261160876,-1.2741304523274173,0.7871325147972584,1.1328388712453683,GDR coadd,-35.08,36.29,grid125,61.9744,1.3023,2733.51983,80.3143,165.70263,10.55569,270.3,0.4987,-37.6375,0.1234,lvmSFrame-00008831.fits,sdsswork/lvm/spectro/redux/1.2.1/1029XX/1029009/60283/lvmSFrame-00008831.fits,sdsswork/data/agcam/lco/60283/coadds/lvm.sci.coadd_s00008831.fits,60255,86.88140566807903,-2.0008846318015663,62.10912055084674,NGC2024,86.88140566807903,-2.0008846318015663,-152.6776799100777,-15.115031813767116
1029XX,1029008,60283,8832,900.0,1,0,0,1.2.1,0,tile_id=1029008,2023-12-05T05:32:23.944,6.1879757003408e-14,3.09856238356328e-14,2.06030748664742e-14,5.85754333999422e-14,3.05097660519909e-14,2.00867213330886e-14,6.20930605673899e-14,3.04272418035199e-14,2.03732630842146e-14,MOD,86.68472634221091,-1.628858585827583,62.12650608845913,1.1264316679109048,GDR coadd,-64.14,35.7,62.593,2509.12004,79.6243,85.80030974116714,-1.2741186231293438,1.058323632063905,1.1299877239615383,GDR coadd,-31.76,35.38,grid125,62.2473,0.9526,2553.52996,80.4252,70.85949644418625,-56.12802316897839,1.13511207388329,1.1449082469356289,GDR coadd,-50.48,36.29,WHAM_south_08,60.86,55.9719,1188.33385,101.4636,165.8184,10.50481,270.42,0.4977,-36.7082,3.592,lvmSFrame-00008832.fits,sdsswork/lvm/spectro/redux/1.2.1/1029XX/1029008/60283/lvmSFrame-00008832.fits,sdsswork/data/agcam/lco/60283/coadds/lvm.sci.coadd_s00008832.fits,60255,86.68472634221091,-1.628858585827583,62.12650608845913,NGC2024,86.68472634221091,-1.628858585827583,-153.1135269804511,-15.116547109671398
1028XX,1028927,60345,11937,900.0,1,0,0,1.2.1,0,tile_id=1028927,2024-02-05T01:56:16.381,6.89911889760693e-14,3.38333408592474e-14,2.29270807101387e-14,6.93782882635408e-14,3.60452304587559e-14,2.42060111291352e-14,6.9155772453235e-14,3.33564142827932e-14,2.23771145519014e-14,MOD,86.60299472768212,-3.8147009719452445,62.097657354835356,1.1115225840327987,GDR coadd,-59.7,36.63,64.1143,861.65203,145.9727,85.80034747111127,-1.274153659894806,0.956563224887722,1.1383358063514772,GDR coadd,-26.08,36.28,grid125,61.459,2.6641,871.09103,148.5654,70.85951574114463,-56.12801082899679,0.8996965656089225,1.1702451982335291,GDR coadd,-46.8,37.01,WHAM_south_08,58.7069,53.8088,617.06649,98.5897,248.38006,-25.25497,295.06,0.2893,-27.2873,-30.8555,lvmSFrame-00011937.fits,sdsswork/lvm/spectro/redux/1.2.1/1028XX/1028927/60345/lvmSFrame-00011937.fits,sdsswork/data/agcam/lco/60345/coadds/lvm.sci.coadd_s00011937.fits,60339,86.60299472768212,-3.8147009719452445,62.097657354835356,NGC2024,86.60299472768212,-3.8147009719452445,-151.13777764047188,-16.196099865482413
1056XX,1056242,60349,12183,900.0,1,0,0,1.2.1,0,tile_id=1056242,2024-02-09T08:29:26.796,6.87062922375576e-14,3.38035545960862e-14,2.27628974244355e-14,6.26804871127682e-14,3.15336485360107e-14,2.09902602790852e-14,6.92354305713273e-14,3.30455606946644e-14,2.19470702005646e-14,MOD,196.3587504992012,-49.471084282775266,-0.10133984846625405,1.0683089981003389,GDR coadd,-56.82,36.09,69.3999,485.64989,91.3098,197.88163720864844,-46.59727975671564,1.3767311066038428,1.0504336395648317,GDR coadd,-56.07,35.69,grid295,72.1735,3.0487,488.09955,92.1319,185.38306889087102,4.415925806900952,0.6604070910655863,1.2153204119158483,GDR coadd,-20.27,36.69,grid272,55.3689,54.7231,676.62892,129.1344,315.86078,-21.24411,351.28,0.0058,-22.5504,-13.8935,lvmSFrame-00012183.fits,sdsswork/lvm/spectro/redux/1.2.1/1056XX/1056242/60349/lvmSFrame-00012183.fits,sdsswork/data/agcam/lco/60349/coadds/lvm.sci.coadd_s00012183.fits,60339,196.3587504992012,-49.471084282775266,-0.10133984846625405,NGC4945,196.3587504992012,-49.471084282775266,-54.73191240937672,13.337161773586235
1056XX,1056243,60382,14164,900.0,1,0,0,1.2.1,2,tile_id=1056243,2024-03-13T03:54:56.091,6.18201713726025e-14,3.16516193904139e-14,2.13630702520561e-14,5.58756918022301e-14,2.97787268485856e-14,2.00093225982676e-14,6.22185479739561e-14,3.11208138258162e-14,2.11288935169183e-14,MOD,197.00102892031396,-49.474024862025516,-0.5737779207179914,1.2258829057323442,GDR coadd,-80.63,36.7,54.6605,3336.13645,143.1343,185.38300895774884,4.41594216045786,1.1765450103172552,1.3421437788811519,GDR coadd,-53.22,36.26,grid272,48.1657,54.8258,32743.84438,150.795,197.88164514719432,-46.59729536652577,1.0255920561342875,1.2201912697726436,GDR coadd,-79.95,36.96,grid295,55.0391,2.9363,3501.7095,146.0489,28.38055,13.80992,38.57,0.1095,-55.3959,-42.0126,lvmSFrame-00014164.fits,sdsswork/lvm/spectro/redux/1.2.1/1056XX/1056243/60382/lvmSFrame-00014164.fits,sdsswork/data/agcam/lco/60382/coadds/lvm.sci.coadd_s00014164.fits,60380,197.00102892031396,-49.474024862025516,-0.5737779207179914,NGC4945,197.00102892031396,-49.474024862025516,-54.303991277764,13.308793127231274
1056XX,1056245,60383,14245,900.0,1,0,0,1.2.1,0,tile_id=1056245,2024-03-14T08:47:52.605,6.32063252471161e-14,3.20365853659018e-14,2.1507596629172e-14,5.76008101012533e-14,2.9909298411221e-14,2.04377623658081e-14,6.35995228716698e-14,3.1521219791534e-14,2.11492372729803e-14,MOD,196.6792087543958,-49.10569327683206,-0.32595865409373376,1.2118868041072168,GDR coadd,-35.74,36.16,55.6047,791.7561,143.0954,197.88161921134605,-46.597294188761545,1.7246663621179734,1.188839298267242,GDR coadd,-34.85,35.78,grid295,57.2625,2.6349,801.41249,145.3274,225.14089092504418,19.282087759936438,0.877733651207321,1.5200367773969938,GDR coadd,-12.62,36.69,grid333,41.1383,72.9242,904.10121,140.3,45.80228,20.41261,55.26,0.2159,-25.5124,-79.0558,lvmSFrame-00014245.fits,sdsswork/lvm/spectro/redux/1.2.1/1056XX/1056245/60383/lvmSFrame-00014245.fits,sdsswork/data/agcam/lco/60383/coadds/lvm.sci.coadd_s00014245.fits,60380,196.6792087543958,-49.10569327683206,-0.32595865409373376,NGC4945,196.6792087543958,-49.10569327683206,-54.49535312684071,13.689715976342855
1056XX,1056244,60493,20486,900.0,1,0,0,1.2.1,0,tile_id=1056244,2024-07-01T23:22:15.500,6.32873479256197e-14,3.1831073523963e-14,2.14517162449858e-14,6.12896202284581e-14,3.17307519048377e-14,2.04913130282164e-14,6.36768456593346e-14,3.14315577436274e-14,2.13293445378843e-14,MOD,196.0371518122765,-49.106221392611886,0.16046940103701532,1.0672879381606308,GDR coadd,-53.82,35.91,69.5462,322.48129,142.956,185.38304570946573,4.415882323705924,0.9480003675848054,1.2385481649030126,GDR coadd,-16.65,35.53,grid272,53.8424,54.3198,277.64961,132.4048,197.88170172133636,-46.59732933590123,0.815758846298765,1.0502462804533823,GDR coadd,-52.94,36.39,grid295,72.2053,2.7974,323.13799,145.481,46.42814,21.0088,309.53,0.1825,-18.2737,-64.8712,lvmSFrame-00020486.fits,sdsswork/lvm/spectro/redux/1.2.1/1056XX/1056244/60493/lvmSFrame-00020486.fits,sdsswork/data/agcam/lco/60493/coadds/lvm.sci.coadd_s00020486.fits,60465,196.0371518122765,-49.106221392611886,0.16046940103701532,NGC4945,196.0371518122765,-49.106221392611886,-54.92734732666395,13.712686354315295
1056XX,1056241,60494,20573,900.0,1,0,0,1.2.1,0,tile_id=1056241,2024-07-02T23:21:24.601,6.29306355705243e-14,3.18391778760505e-14,2.14006674087742e-14,6.11832249663519e-14,3.31326458423619e-14,2.16768380522795e-14,6.33158128277438e-14,3.14755851174848e-14,2.12718554177361e-14,MOD,195.71193299448944,-49.46980597750992,0.4160685756659257,1.0707873399843881,GDR coadd,-53.41,35.95,69.0499,312.03933,137.6535,197.88170410444852,-46.59732869879582,1.2533023971952992,1.0506385839399057,GDR coadd,-52.68,35.38,grid295,72.1388,3.2178,312.75295,139.9213,185.38305744886893,4.4158464211055035,0.5362860130829484,1.2432560763225977,GDR coadd,-15.84,36.6,grid272,53.5465,54.6269,269.03126,118.9163,60.5453,25.02302,322.06,0.1062,-18.0241,-54.5299,lvmSFrame-00020573.fits,sdsswork/lvm/spectro/redux/1.2.1/1056XX/1056241/60494/lvmSFrame-00020573.fits,sdsswork/data/agcam/lco/60494/coadds/lvm.sci.coadd_s00020573.fits,60465,195.71193299448944,-49.46980597750992,0.4160685756659257,NGC4945,195.71193299448944,-49.46980597750992,-55.16328843632306,13.359738505557626
1056XX,1056240,60499,20980,900.0,1,0,0,1.2.1,0,tile_id=1056240,2024-07-07T23:29:13.914,6.4170488127103e-14,3.21487352464476e-14,2.16443302004788e-14,5.68890180798413e-14,3.01437142362873e-14,1.99701940165198e-14,6.4570809035923e-14,3.16943200452138e-14,2.14977941435217e-14,MOD,196.68523820026604,-49.835233798337875,-0.3586709526292473,1.082788461536492,GDR coadd,-49.86,35.62,67.4494,352.98264,91.6535,185.38303964105634,4.415860297544973,1.0359332490074271,1.2980195048888905,GDR coadd,-10.91,35.31,grid272,50.3902,55.1267,297.18499,53.8641,197.8816889835439,-46.59733406896319,0.8113451437698134,1.0595083410852872,GDR coadd,-48.37,36.07,grid295,70.7057,3.3345,352.04111,90.5328,132.82658,22.42637,23.54,0.0418,-19.2825,1.5501,lvmSFrame-00020980.fits,sdsswork/lvm/spectro/redux/1.2.1/1056XX/1056240/60499/lvmSFrame-00020980.fits,sdsswork/data/agcam/lco/60499/coadds/lvm.sci.coadd_s00020980.fits,60465,196.68523820026604,-49.835233798337875,-0.3586709526292473,NGC4945,196.68523820026604,-49.835233798337875,-54.53705091382636,12.961294114924378
1056XX,1056239,60528,22929,900.0,1,0,0,1.2.1,0,tile_id=1056239,2024-08-06T00:00:56.445,6.3870348317922e-14,3.2014921077042e-14,2.16534776071573e-14,5.91883881994847e-14,3.44513400828867e-14,2.36763316052679e-14,6.40806140885959e-14,3.1454699073692e-14,2.13698814118885e-14,MOD,196.03347812713457,-49.835686196528926,0.07697562460970955,1.3396882013594194,GDR coadd,-31.31,35.17,48.2831,449.41991,74.3438,302.00798632719165,-47.172281810230615,1.4507902520076457,1.4886959004405533,GDR coadd,86.47,34.89,WHAM_south_07,42.2006,63.9091,921.97214,138.0973,197.8816030042368,-46.59731784056224,0.8987201335898076,1.303689757654531,GDR coadd,-29.66,35.53,grid295,50.09,3.4643,447.48832,72.8771,153.36939,14.36443,16.74,0.0213,-23.4894,-7.594,lvmSFrame-00022929.fits,sdsswork/lvm/spectro/redux/1.2.1/1056XX/1056239/60528/lvmSFrame-00022929.fits,sdsswork/data/agcam/lco/60528/coadds/lvm.sci.coadd_s00022929.fits,60524,196.03347812713457,-49.835686196528926,0.07697562460970955,NGC4945,196.03347812713457,-49.835686196528926,-54.96779022416678,12.984279752053082
1039XX,1039350,60638,30171,900.0,1,0,0,1.2.1,0,tile_id=1039350,2024-11-24T04:26:09.341,6.39970797010003e-14,3.22692565810488e-14,2.18245677804439e-14,6.42439045358984e-14,3.33801796392336e-14,2.20980310763371e-14,6.42836010808301e-14,3.16096813970468e-14,2.14902986103958e-14,MOD,96.70592695742243,3.435711438015217,2.410510098238402,1.508306635933876,GDR coadd,-65.13,35.68,41.5287,3422.06239,70.1186,100.17871333049388,8.96710570907656,1.5041231556588022,1.7359619010982834,GDR coadd,-65.73,35.44,grid146,35.1732,6.5197,3880.80144,66.0813,70.85954334659327,-56.12805121197706,1.038384923409315,1.135514661011274,GDR coadd,-65.97,36.38,WHAM_south_08,61.7218,63.1968,1402.64835,100.2533,167.09935,8.17317,282.91,0.3896,-40.3448,-19.553,lvmSFrame-00030171.fits,sdsswork/lvm/spectro/redux/1.2.1/1039XX/1039350/60638/lvmSFrame-00030171.fits,sdsswork/data/agcam/lco/60638/coadds/lvm.sci.coadd_s00030171.fits,60636,96.70592695742243,3.435711438015217,2.410510098238402,NGC2237,96.70592695742243,3.435711438015217,-152.9433073061859,-3.8935460652950797
1039XX,1039863,60638,30172,900.0,1,0,0,1.2.1,0,tile_id=1039863,2024-11-24T04:42:23.674,6.4293125886445e-14,3.24981348423622e-14,2.1978459559081e-14,6.67079499413627e-14,3.4329738142335e-14,2.29871648874991e-14,6.44815955247544e-14,3.1823779436716e-14,2.16356342800053e-14,MOD,97.32136075937986,3.0446504882509355,2.508893607525656,1.433859993697896,GDR coadd,-62.2,35.63,44.2202,3154.56364,69.6951,100.17872524304414,8.967080049474308,1.4508146344305675,1.6268638440696024,GDR coadd,-62.05,35.44,grid146,37.9286,6.5683,3603.37559,66.2207,70.85949294412993,-56.127998565798585,1.051796981323359,1.1281950198664978,GDR coadd,-63.49,36.38,WHAM_south_08,62.4208,62.9902,1397.44535,100.2836,167.23496,8.11838,283.05,0.3884,-40.2514,-16.0862,lvmSFrame-00030172.fits,sdsswork/lvm/spectro/redux/1.2.1/1039XX/1039863/60638/lvmSFrame-00030172.fits,sdsswork/data/agcam/lco/60638/coadds/lvm.sci.coadd_s00030172.fits,60636,97.32136075937986,3.0446504882509355,2.508893607525656,NGC2237,97.32136075937986,3.0446504882509355,-152.31154859381604,-3.528812782034784
1039XX,1039349,60638,30173,900.0,1,0,0,1.2.1,0,tile_id=1039349,2024-11-24T04:58:34.186,6.4153934549969e-14,3.24500565880076e-14,2.1941567291348e-14,6.65273348379999e-14,3.42005344780589e-14,2.27361111691944e-14,6.44561941791279e-14,3.18105473316426e-14,2.15357921142095e-14,MOD,96.51129851370206,3.8083091675926504,2.376862951390247,1.3712674931645215,GDR coadd,-57.59,35.63,46.8237,3033.93901,70.5298,70.859550738934,-56.12808786099883,1.54938880133949,1.124057372967423,GDR coadd,-61.27,35.42,WHAM_south_08,62.8273,63.5029,1375.57184,100.3117,100.17873802005948,8.967114922626852,1.01808628809063,1.5391811448993666,GDR coadd,-58.09,36.38,grid146,40.5187,6.3157,3321.61686,66.3559,167.36635,8.0638,283.18,0.3873,-39.8538,-12.6303,lvmSFrame-00030173.fits,sdsswork/lvm/spectro/redux/1.2.1/1039XX/1039349/60638/lvmSFrame-00030173.fits,sdsswork/data/agcam/lco/60638/coadds/lvm.sci.coadd_s00030173.fits,60636,96.51129851370206,3.8083091675926504,2.376862951390247,NGC2237,96.51129851370206,3.8083091675926504,-153.36446741375875,-3.8935484849166992
1039XX,1039862,60638,30174,900.0,1,0,0,1.2.1,0,tile_id=1039862,2024-11-24T05:16:21.472,6.47531751113326e-14,3.23874711791321e-14,2.19124493305904e-14,6.74409186496859e-14,3.48833214037233e-14,2.35494366088816e-14,6.50493313990361e-14,3.17740800619693e-14,2.15289764851769e-14,MOD,97.12722605701447,3.4176432662611407,2.4521992304671816,1.316183806977148,GDR coadd,-54.23,35.63,49.4441,2728.03224,70.1091,100.17870564931846,8.96707928841586,1.3558409770364288,1.4619712637126956,GDR coadd,-54.1,35.29,grid146,43.1576,6.3239,3007.54574,66.5005,70.8595074260909,-56.128049666184175,1.0668648104263885,1.1230813400187065,GDR coadd,-58.43,36.27,WHAM_south_08,62.9245,63.2948,1332.82102,100.3401,167.5065,8.00373,283.32,0.3861,-39.0742,-8.8307,lvmSFrame-00030174.fits,sdsswork/lvm/spectro/redux/1.2.1/1039XX/1039862/60638/lvmSFrame-00030174.fits,sdsswork/data/agcam/lco/60638/coadds/lvm.sci.coadd_s00030174.fits,60636,97.12722605701447,3.4176432662611407,2.4521992304671816,NGC2237,97.12722605701447,3.4176432662611407,-152.73269461514045,-3.5288358194929828
1040XX,1040375,60638,30175,900.0,1,0,0,1.2.1,0,tile_id=1040375,2024-11-24T05:32:30.154,6.4239485884495e-14,3.24206358482245e-14,2.18790089555485e-14,6.60776043695222e-14,3.44483274749089e-14,2.28692059994849e-14,6.47765105387478e-14,3.18694066171755e-14,2.15393679455763e-14,MOD,97.74253764419143,3.0259791948102994,2.542973342365056,1.2748382791926063,GDR coadd,-51.25,35.63,51.6664,2451.41626,69.6722,100.17875533445235,8.967078520243223,1.302169764792439,1.4061258939897212,GDR coadd,-50.24,35.27,grid146,45.3305,6.4157,2720.79398,66.6278,70.85949331282879,-56.12800623385033,1.0923069544902193,1.1254267713737804,GDR coadd,-56.09,36.27,WHAM_south_08,62.6918,63.0903,1277.89606,100.3637,167.62972,7.94913,283.44,0.3851,-38.0693,-5.3866,lvmSFrame-00030175.fits,sdsswork/lvm/spectro/redux/1.2.1/1040XX/1040375/60638/lvmSFrame-00030175.fits,sdsswork/data/agcam/lco/60638/coadds/lvm.sci.coadd_s00030175.fits,60636,97.74253764419143,3.0259791948102994,2.542973342365056,NGC2237,97.74253764419143,3.0259791948102994,-152.10093304349252,-3.164075072562905
1040XX,1040887,60638,30176,900.0,1,0,0,1.2.1,0,tile_id=1040887,2024-11-24T05:48:44.168,6.4709872292592e-14,3.25452539829268e-14,2.19903115478564e-14,7.63604990025927e-14,3.74824232265373e-14,2.53705410718472e-14,6.51953283974952e-14,3.20635960430623e-14,2.16591048179035e-14,MOD,98.16371927149918,3.007017052917752,2.5789643278594334,1.2441773102686202,GDR coadd,-47.94,35.63,53.4891,2201.77808,69.3766,100.17876383454936,8.967074784529276,1.2674485913164837,1.3614077205823472,GDR coadd,-46.31,35.24,grid146,47.2678,6.2877,2433.15861,66.7521,70.85948735225449,-56.12800434722826,1.1022359111327227,1.1309130147037032,GDR coadd,-53.79,36.27,WHAM_south_08,62.1583,63.1918,1208.33475,100.3851,167.74978,7.89411,283.56,0.3841,-36.7906,-1.9312,lvmSFrame-00030176.fits,sdsswork/lvm/spectro/redux/1.2.1/1040XX/1040887/60638/lvmSFrame-00030176.fits,sdsswork/data/agcam/lco/60638/coadds/lvm.sci.coadd_s00030176.fits,60636,98.16371927149918,3.007017052917752,2.5789643278594334,NGC2237,98.16371927149918,3.007017052917752,-151.89034331215927,-2.7993362775332162
1040XX,1040374,60638,30177,900.0,1,0,0,1.2.1,0,tile_id=1040374,2024-11-24T06:05:02.081,6.3991800565259e-14,3.21932918368336e-14,2.17061684693419e-14,6.7620853313122e-14,3.6232594235694e-14,2.46641211311542e-14,6.47203726850153e-14,3.16119351360356e-14,2.13529410763046e-14,MOD,97.54858970910887,3.3992437621398515,2.512596830671875,1.2198167584793678,GDR coadd,-43.45,35.63,55.0643,1991.45002,70.0528,70.85949645089156,-56.12806877113792,1.6012356466944684,1.13964116514029,GDR coadd,-51.74,35.24,WHAM_south_08,61.3386,63.3941,1125.47813,100.4043,100.17878222776962,8.96709130127424,0.8138332342507271,1.326474454526643,GDR coadd,-42.13,36.27,grid146,48.9274,6.1509,2147.61778,66.8731,167.86644,7.83873,283.67,0.3831,-35.2549,1.5265,lvmSFrame-00030177.fits,sdsswork/lvm/spectro/redux/1.2.1/1040XX/1040374/60638/lvmSFrame-00030177.fits,sdsswork/data/agcam/lco/60638/coadds/lvm.sci.coadd_s00030177.fits,60636,97.54858970910887,3.3992437621398515,2.512596830671875,NGC2237,97.54858970910887,3.3992437621398515,-152.52207947565904,-3.1640744592256786
1041XX,1041398,60638,30178,900.0,1,0,0,1.2.1,0,tile_id=1041398,2024-11-24T06:22:49.250,6.45610754939218e-14,3.23416429738343e-14,2.18228334341109e-14,6.93550556461135e-14,3.49671333682785e-14,2.38896548354241e-14,6.51475895767399e-14,3.18453820215389e-14,2.14605011573001e-14,MOD,98.5849134988458,2.9877488622458626,2.608859895966737,1.1984661911181194,GDR coadd,-40.52,35.47,56.5534,1691.49498,69.1996,70.85949973306609,-56.12802072189078,1.6432169188288437,1.1529684714650523,GDR coadd,-49.33,35.22,WHAM_south_08,60.1494,63.2946,1022.27254,100.4226,100.17880535657424,8.967068067317669,0.7792781080962929,1.2984052884792379,GDR coadd,-37.8,36.15,grid146,50.3697,6.1857,1843.03501,67.0009,167.98932,7.77807,283.8,0.382,-33.3157,5.2821,lvmSFrame-00030178.fits,sdsswork/lvm/spectro/redux/1.2.1/1041XX/1041398/60638/lvmSFrame-00030178.fits,sdsswork/data/agcam/lco/60638/coadds/lvm.sci.coadd_s00030178.fits,60636,98.5849134988458,2.9877488622458626,2.608859895966737,NGC2237,98.5849134988458,2.9877488622458626,-151.67974420394026,-2.4346015921469624
1040XX,1040886,60638,30179,900.0,1,0,0,1.2.1,0,tile_id=1040886,2024-11-24T06:39:02.396,6.41682383254109e-14,3.25044800137738e-14,2.19298179883581e-14,7.23633709289684e-14,3.71516768004523e-14,2.49730504864564e-14,6.47101313140181e-14,3.19111315751969e-14,2.15332281428444e-14,MOD,97.96992795960148,3.380538287154415,2.5505532705926437,1.1897906744556803,GDR coadd,-36.09,35.42,57.1913,1477.3065,69.868,100.17876954817832,8.967078312643034,1.2077880777393082,1.2811031442258853,GDR coadd,-34.08,35.2,grid146,51.3135,6.0023,1574.92126,67.1136,70.85948042498997,-56.128038280700736,1.1531341709383225,1.1687401601222505,GDR coadd,-46.97,36.11,WHAM_south_08,58.8285,63.4947,918.77769,100.4369,168.09737,7.72253,283.91,0.3811,-31.3303,8.6861,lvmSFrame-00030179.fits,sdsswork/lvm/spectro/redux/1.2.1/1040XX/1040886/60638/lvmSFrame-00030179.fits,sdsswork/data/agcam/lco/60638/coadds/lvm.sci.coadd_s00030179.fits,60636,97.96992795960148,3.380538287154415,2.5505532705926437,NGC2237,97.96992795960148,3.380538287154415,-152.31150784555746,-2.799335063108579
1041XX,1041397,60638,30180,900.0,1,0,0,1.2.1,0,tile_id=1041397,2024-11-24T06:55:14.047,6.44835380486091e-14,3.22314126867855e-14,2.18448159466024e-14,6.87580924061808e-14,3.70265734360748e-14,2.48296557698011e-14,6.50109380995399e-14,3.17180227646264e-14,2.1408965182109e-14,MOD,98.39127862805879,3.361493880519514,2.608262048115235,1.1844899406142964,GDR coadd,-32.87,35.42,57.5912,1240.94871,69.5567,100.17878300996232,8.96705670477901,1.2109513761003745,1.2711900447788007,GDR coadd,-30.19,35.17,grid146,51.8749,5.8803,1319.61754,67.2224,70.85945207584322,-56.12801355458198,1.1810804351721986,1.1881275722194555,GDR coadd,-44.88,36.09,WHAM_south_08,57.3159,63.5966,808.97093,100.4488,168.2015,7.66682,284.01,0.3802,-29.1623,12.0602,lvmSFrame-00030180.fits,sdsswork/lvm/spectro/redux/1.2.1/1041XX/1041397/60638/lvmSFrame-00030180.fits,sdsswork/data/agcam/lco/60638/coadds/lvm.sci.coadd_s00030180.fits,60636,98.39127862805879,3.361493880519514,2.608262048115235,NGC2237,98.39127862805879,3.361493880519514,-152.1009149111101,-2.434604418138769
1041XX,1041908,60638,30181,900.0,1,0,0,1.2.1,0,tile_id=1041908,2024-11-24T07:11:25.683,6.4600081451463e-14,3.28801141194716e-14,2.20271293040642e-14,6.97613666964425e-14,3.4243500174197e-14,2.29532367608562e-14,6.52172691319459e-14,3.22567158230226e-14,2.15444096244341e-14,MOD,98.81264074829366,3.3421732151785464,2.6426219135074183,1.184144080099603,GDR coadd,-29.7,35.4,57.6175,1018.28167,69.2417,100.17878256911476,8.967066958126814,1.224269653070232,1.2683511106725849,GDR coadd,-26.36,35.14,grid146,52.0386,5.7864,1079.89631,67.3277,70.85943341480179,-56.12800168776004,1.2017746236672864,1.2113942929884107,GDR coadd,-42.85,36.09,WHAM_south_08,55.6387,63.6999,695.36345,100.4585,168.30195,7.61083,284.11,0.3794,-26.8281,15.4042,lvmSFrame-00030181.fits,sdsswork/lvm/spectro/redux/1.2.1/1041XX/1041908/60638/lvmSFrame-00030181.fits,sdsswork/data/agcam/lco/60638/coadds/lvm.sci.coadd_s00030181.fits,60636,98.81264074829366,3.3421732151785464,2.6426219135074183,NGC2237,98.81264074829366,3.3421732151785464,-151.89033876163373,-2.069859695936608
1039XX,1039859,60651,30758,900.0,1,0,0,1.2.1,0,tile_id=1039859,2024-12-07T03:41:29.003,6.47435480204733e-14,3.26772358622495e-14,2.19988692806207e-14,6.87674036606982e-14,3.58687503367551e-14,2.35772280857184e-14,6.52935973906039e-14,3.20863760781336e-14,2.1643724512439e-14,MOD,96.54286284274284,4.535971363064415,2.3486413829742725,1.4949797784219814,GDR coadd,-63.33,35.71,41.9826,3907.0278,127.749,70.85955212690702,-56.12806638126239,1.4937915556924264,1.1322402767259496,GDR coadd,-65.19,35.32,WHAM_south_08,62.0314,64.2122,1179.0426,84.0586,100.17873900592116,8.96712814821938,1.1086638840256442,1.6898459535165113,GDR coadd,-64.07,36.45,grid146,36.2827,5.7153,4854.45725,132.3327,328.60293,-15.19985,70.37,0.3331,-36.7946,5.4278,lvmSFrame-00030758.fits,sdsswork/lvm/spectro/redux/1.2.1/1039XX/1039859/60651/lvmSFrame-00030758.fits,sdsswork/data/agcam/lco/60651/coadds/lvm.sci.coadd_s00030758.fits,60636,96.54286284274284,4.535971363064415,2.3486413829742725,NGC2237,96.54286284274284,4.535971363064415,-153.99623463749137,-3.528819770849019
1039XX,1039858,60651,30759,900.0,1,0,0,1.2.1,0,tile_id=1039858,2024-12-07T03:57:38.463,6.49650410340185e-14,3.25838543736097e-14,2.20597239722651e-14,6.44094686465937e-14,3.40149008870974e-14,2.24253143578579e-14,6.56814826625159e-14,3.20225647195061e-14,2.16765977282863e-14,MOD,96.34737564466722,4.908445852376347,2.2972182775428864,1.4262088120464114,GDR coadd,-59.41,35.71,44.5201,3879.63424,127.5252,70.85952908153706,-56.128012881513335,1.5141261204808711,1.12620866384564,GDR coadd,-62.74,35.28,WHAM_south_08,62.6149,64.5191,1222.36828,84.0445,100.17876903776337,8.967058795712292,1.051598544776023,1.590167031709054,GDR coadd,-60.37,36.45,grid146,38.9664,5.5616,4622.37374,132.1906,328.75251,-15.12219,70.52,0.3344,-37.5862,2.0969,lvmSFrame-00030759.fits,sdsswork/lvm/spectro/redux/1.2.1/1039XX/1039858/60651/lvmSFrame-00030759.fits,sdsswork/data/agcam/lco/60651/coadds/lvm.sci.coadd_s00030759.fits,60636,96.34737564466722,4.908445852376347,2.2972182775428864,NGC2237,96.34737564466722,4.908445852376347,-154.41738223537007,-3.5288096789377956
